Dataset,Best Makespan,Execution Time (s)
data_20j_15m_10,2428,33.4313
data_20j_15m_10,2428,22.5231
data_20j_15m_10,2380,21.8457
data_20j_15m_10,2555,6.1853
data_20j_15m_10,2552,5.8583
