Dataset,Best Makespan,Execution Time (s)
data_20j_15m_2,2516,32.5163
data_20j_15m_2,2573,23.1240
data_20j_15m_2,2659,17.8855
data_20j_15m_2,2681,5.4876
data_20j_15m_2,2768,8.2411
data_20j_15m_2,2698,3.1293
data_20j_15m_2,2594,23.2176
data_20j_15m_2,2586,74.5602
data_20j_15m_2,2488,54.2058
