timestamp,parameters,makespan,exec_time,num_particles,max_iter,w_min,w_max,c1_min,c1_max,c2_min,c2_max,mutation_rate,max_stagnation,early_stopping_window,improvement_threshold,is_best
2025-04-10T20:29:46.533700,,1773,181.62905263900757,30,1000,0.5,0.9,0.2,0.9,0.4,0.9,0.5,20,,0.01,False
2025-04-10T20:31:34.439413,,1791,150.5454661846161,20,1000,0.3,0.8,0.4,0.8,0.4,0.9,0.5,5,,0.01,False
2025-04-10T20:31:45.864342,,1736,153.31225562095642,20,1000,0.3,0.8,0.4,0.8,0.2,0.85,0.5,5,,0.08,False
2025-04-10T20:32:58.419377,,1742,191.87709999084473,30,1000,0.5,0.9,0.2,0.9,0.4,0.9,0.3,20,,0.01,False
2025-04-10T20:34:03.717887,,1828,149.27847409248352,20,1000,0.3,0.8,0.4,0.8,0.4,0.9,0.3,5,,0.01,False
2025-04-10T20:34:14.606004,,1776,148.74166178703308,20,1000,0.3,0.8,0.4,0.8,0.2,0.85,0.3,5,,0.08,False
2025-04-10T20:35:59.561355,,1794,181.14197754859924,30,1000,0.5,0.9,0.4,0.8,0.2,0.85,0.5,20,,0.01,False
2025-04-10T20:36:42.439120,,1729,158.71472311019897,20,1000,0.5,0.9,0.2,0.9,0.2,0.85,0.5,5,,0.01,False
2025-04-10T20:36:44.621024,,1791,150.0150203704834,20,1000,0.3,0.8,0.4,0.8,0.4,0.9,0.5,5,,0.08,False
2025-04-10T20:38:45.477947,,1772,165.90307140350342,30,1000,0.5,0.9,0.4,0.8,0.2,0.85,0.3,20,,0.01,False
2025-04-10T20:40:53.812056,,1765,23.189433574676514,5,1000,0.3,0.8,0.2,0.9,0.2,0.85,0.5,20,,0.02,True
2025-04-10T20:41:25.525439,,1728,160.0401051044464,30,1000,0.5,0.9,0.4,0.8,0.4,0.9,0.5,20,,0.01,False
2025-04-10T20:42:18.208596,,1773,70.44569778442383,5,3000,0.3,0.8,0.2,0.9,0.2,0.85,0.5,20,,0.02,True
2025-04-10T20:44:11.071332,,1758,165.540283203125,30,1000,0.5,0.9,0.4,0.8,0.4,0.9,0.3,20,,0.01,False
2025-04-10T20:45:23.285506,,1774,161.92808628082275,10,3000,0.3,0.8,0.2,0.9,0.2,0.85,0.5,10,,0.02,True
2025-04-10T20:48:32.819319,,1735,261.7339127063751,50,1000,0.3,0.8,0.2,0.9,0.2,0.85,0.5,20,,0.01,False
2025-04-10T20:49:01.666396,,1764,158.80499863624573,25,1000,0.2,0.9,0.2,0.9,0.2,0.85,0.5,10,,0.05,True
2025-04-10T20:51:39.234664,,1744,157.55783605575562,25,1000,0.2,0.9,0.2,0.9,0.2,0.85,0.3,10,,0.05,True
2025-04-10T20:53:04.492688,,1718,271.65774846076965,50,1000,0.3,0.8,0.2,0.9,0.2,0.85,0.3,20,,0.01,False
2025-04-10T20:54:26.445811,,1764,167.20689487457275,25,1000,0.2,0.9,0.2,0.9,0.4,0.9,0.5,10,,0.05,False
2025-04-10T20:57:00.050652,,1738,153.59395146369934,25,1000,0.2,0.9,0.2,0.9,0.4,0.9,0.3,10,,0.05,True
2025-04-10T20:57:28.295004,,1713,263.79292488098145,50,1000,0.3,0.8,0.2,0.9,0.4,0.9,0.5,20,,0.01,False
2025-04-10T20:59:47.040015,,1729,166.98936343193054,25,1000,0.2,0.9,0.4,0.8,0.2,0.85,0.5,10,,0.05,True
2025-04-10T21:02:18.496504,,1720,290.1850185394287,50,1000,0.3,0.8,0.2,0.9,0.4,0.9,0.3,20,,0.01,False
2025-04-10T21:02:31.467892,,1796,164.4217975139618,25,1000,0.2,0.9,0.4,0.8,0.2,0.85,0.3,10,,0.05,False
