timestamp,parameters,makespan,exec_time,num_particles,max_iter,w,c1,c2,mutation_rate,max_stagnation,early_stopping_window,improvement_threshold,is_best
2025-04-11T16:35:29.420553,,3475,899.6206252574921,175,1000,0.3,0.4,0.4,0.5,20,,0.08,True
2025-04-11T16:43:40.905724,,3423,491.3601293563843,175,1000,0.3,0.4,0.4,0.7,20,,0.08,True
2025-04-11T16:50:38.229865,,3412,417.31550216674805,175,1000,0.3,0.4,0.7,0.5,20,,0.08,True
2025-04-11T16:58:07.236224,,3349,448.99594378471375,175,1000,0.3,0.4,0.7,0.7,20,,0.08,True
2025-04-11T17:04:59.521235,,3476,412.277663230896,175,1000,0.3,0.4,0.9,0.5,20,,0.08,False
2025-04-11T17:11:56.476789,,3392,416.9468252658844,175,1000,0.3,0.4,0.9,0.7,20,,0.08,False
2025-04-11T17:18:36.493257,,3475,400.01646852493286,175,1000,0.3,0.7,0.4,0.5,20,,0.08,False
2025-04-11T17:25:28.439259,,3414,411.94249534606934,175,1000,0.3,0.7,0.4,0.7,20,,0.08,False
2025-04-11T17:32:09.227291,,3367,400.78212690353394,175,1000,0.3,0.7,0.7,0.5,20,,0.08,False
2025-04-11T17:49:00.757893,,3347,1011.5248804092407,175,1000,0.3,0.7,0.7,0.7,20,,0.08,True
2025-04-11T18:03:07.963394,,3535,847.1935813426971,175,1000,0.3,0.7,0.9,0.5,20,,0.08,False
2025-04-11T18:27:08.161746,,3388,1440.1879541873932,175,1000,0.3,0.7,0.9,0.7,20,,0.08,False
2025-04-11T18:33:32.921173,,3531,384.74436020851135,175,1000,0.3,0.9,0.4,0.5,20,,0.08,False
2025-04-11T18:39:51.051737,,3392,378.1224582195282,175,1000,0.3,0.9,0.4,0.7,20,,0.08,False
2025-04-11T18:45:52.052071,,3495,360.99083614349365,175,1000,0.3,0.9,0.7,0.5,20,,0.08,False
2025-04-11T18:52:12.112088,,3382,380.0483338832855,175,1000,0.3,0.9,0.7,0.7,20,,0.08,False
2025-04-11T18:58:14.517438,,3492,362.39469814300537,175,1000,0.3,0.9,0.9,0.5,20,,0.08,False
2025-04-11T19:04:32.384400,,3446,377.8594617843628,175,1000,0.3,0.9,0.9,0.7,20,,0.08,False
2025-04-11T19:10:41.958451,,3375,369.5655198097229,175,1000,0.5,0.4,0.4,0.5,20,,0.08,False
2025-04-11T19:19:14.493688,,3437,512.5322885513306,175,1000,0.5,0.4,0.4,0.7,20,,0.08,False
2025-04-11T19:29:27.253070,,3476,612.7522821426392,175,1000,0.5,0.4,0.7,0.5,20,,0.08,False
2025-04-11T19:39:08.783367,,3392,581.5243334770203,175,1000,0.5,0.4,0.7,0.7,20,,0.08,False
2025-04-11T19:55:13.793418,,3367,965.0041825771332,175,1000,0.5,0.4,0.9,0.5,20,,0.08,False
2025-04-11T20:09:19.464127,,3270,845.664751291275,175,1000,0.5,0.4,0.9,0.7,20,,0.08,True
2025-04-11T20:27:06.096546,,3436,1066.615296125412,175,1000,0.5,0.7,0.4,0.5,20,,0.08,False
